epoch,train_acc,train_loss,val_acc,val_loss
1,0.2611,2.9311,0.2839,3.1961
2,0.3508,2.4098,0.3416,2.4737
3,0.3839,2.2499,0.3631,2.4118
4,0.4046,2.1450,0.3748,2.2676
5,0.4197,2.0738,0.3694,2.5195
6,0.4104,2.0970,0.3579,2.5628
7,0.4364,1.9999,0.4016,2.2758
8,0.4189,2.0620,0.3615,2.4969
9,0.4254,2.0307,0.3950,2.1805
10,0.4237,2.0332,0.4091,2.1399
